free pair bl oriented,U L U' L',""
free pair bl oriented + U',L U' L',""
free pair bl oriented + U2,L U2 L',""
free pair bl oriented + U,U' L U2 L',""
flipped pair fr,U' R' F R F' R U' R',""
flipped pair fr + U',R' F R F' R U' R',""
flipped pair fr + U2,U R' F R F' R U' R',""
flipped pair fr + U,U2 R' F R F' R U' R',R U2 R' F' U' F
flipped pair fl,U L F' L' F L' U L,""
flipped pair fl + U',L F' L' F L' U L,""
flipped pair fl + U2,U' L F' L' F L' U L,""
flipped pair fl + U,U2 L F' L' F L' U L,""
flipped pair br,R' U R' F R F' R,"R' U R Dw' R U' R',R' U R U' Rw' U Rw U' Rw' U' Rw"
flipped pair br + U',y R' F R F' R U' R',U R' U R' F R F' R
flipped pair br + U2,U2 R' U R' F R F' R,""
flipped pair br + U,U' R' U R' F R F' R,""
flipped pair bl,L U' L F' L' F L',"L U' L' Dw L' U L,L U' L' U Lw U' Lw' U Lw U Lw'"
flipped pair bl + U',y' L F' L' F L' U L,U' L U' L' Dw L' U L
flipped pair bl + U2,U2 L U' L' Dw L' U L,""
flipped pair bl + U,U L U' L' Dw L' U L,""
friend fr misoriented,R' F R F' R U' R' U R U' R',"M' U R U' Rw' R U' R' U R U' R',y' R' U2 R U R' U' R,y L' U2 L U L' U' L"
friend fr misoriented + U',U R' F R F' R U' R' U R U' R',Dw R' U2 R U R' U' R
friend fr misoriented + U2,U2 R' F R F' R U' R' U R U' R',""
friend fr misoriented + U,U' R' F R F' R U' R' U R U' R',y' U' R' U2 R U R' U' R
friend fr oriented,R U2 R' U' R U R',""
friend fr oriented + U',U R U2 R' U' R U R',""
friend fr oriented + U2,U2 R U2 R' U' R U R',R U R' U' R U R' U2 R U' R'
friend fr oriented + U,U' R U2 R' U' R U R',""
friend fl misoriented,L F' L' F L' U L U' L' U L,"y L U2 L' U' L U L',y' R U2 R' U' R U R'"
friend fl misoriented + U',U' L F' L' F L' U L U' L' U L,"Dw' L U2 L' U' L U L',y' U' R U2 R' U' R U R'"
friend fl misoriented + U2,U2 L F' L' F L' U L U' L' U L,"Dw U R U2 R' U' R U R',L' U' L U L' U' L Dw' L U L'"
friend fl misoriented + U,U L F' L' F L' U L U' L' U L,L' U L M' U' L' U L U' L' U Lw
friend fl oriented,L' U2 L U L' U' L,""
friend fl oriented + U',U' L' U2 L U L' U' L,""
friend fl oriented + U2,L' U' L U L' U' L U2 L' U L,U2 L' U2 L U L' U' L
friend fl oriented + U,U L' U2 L U L' U' L,""
friend br misoriented,y R U2 R' U' R U R',y' L U2 L' U' L U L'
friend br misoriented + U',y U R U2 R' U' R U R',""
friend br misoriented + U2,R' U' R U R' F R' F' R U' R,y U2 R U2 R' U' R U R'
friend br misoriented + U,U R' U' R U R' F R' F' R U' R,y U' R U2 R' U' R U R'
friend br oriented,R' U2 R U R' U' R,""
friend br oriented + U',U R' U2 R U R' U' R,""
friend br oriented + U2,U2 R' U2 R U R' U' R,""
friend br oriented + U,U' R' U2 R U R' U' R,""
friend bl misoriented,y R' U2 R U R' U' R,""
friend bl misoriented + U',y U' R' U2 R U R' U' R,""
friend bl misoriented + U2,Dw' U' R' U2 R U R' U' R,L U L' U' L F' L F L' U L'
friend bl misoriented + U,y U' R' U2 R U R' U' R,""
friend bl oriented,L U2 L' U' L U L',""
friend bl oriented + U',U' L U2 L' U' L U L',""
friend bl oriented + U2,U2 L U2 L' U' L U L',""
friend bl oriented + U,U L U2 L' U' L U L',""
split fr misoriented,Dw R' U R U' R' U' R,R U' R' U R' F R F' R U' R'
split fr misoriented + U',Dw U R' U R U' R' U' R,Dw' U' L' U L U' L' U' L
split fr misoriented + U2,U' Dw R' U R U' R' U' R,""
split fr misoriented + U,y' R' U R U' R' U' R,""
split fr oriented,U' R U' R' U R U R',""
split fr oriented + U',R U' R' U R U R',""
split fr oriented + U2,U R U' R' U R U R',""
split fr oriented + U,U2 R U' R' U R U R',""
split fl misoriented,Dw' L U' L' U L U L',y' U' R U' R' U R U R'
split fl misoriented + U',Dw U R U' R' U R U R',""
split fl misoriented + U2,Dw R U' R' U R U R',""
split fl misoriented + U,y L U' L' U L U L',y' R U' R' U R U R'
split fl oriented,U L' U L U' L' U' L,""
split fl oriented + U',L' U L U' L' U' L,""
split fl oriented + U2,U' L' U L U' L' U' L,""
split fl oriented + U,U2 L' U L U' L' U' L,""
split br misoriented,Dw' R U' R' U R U R',""
split br misoriented + U',y R U' R' U R U R',""
split br misoriented + U2,Dw L U' L' U L U L',y U R U' R' U R U R'
split br misoriented + U,Dw U L U' L' U L U L',Dw' U' R U' R' U R U R'
split br oriented,U R' U R U' R' U' R,""
split br oriented + U',U2 R' U R U' R' U' R,""
split br oriented + U2,U' R' U R U' R' U' R,""
split br oriented + U,R' U R U' R' U' R,""
split bl misoriented,Dw L' U L U' L' U' L,""
split bl misoriented + U',y' L' U L U' L' U' L,""
split bl misoriented + U2,y' U' L' U L U' L' U' L,y U' R' U R U' R' U' R
split bl misoriented + U,Dw U L' U L U' L' U' L,""
split bl oriented,U' L U' L U L U L',""
split bl oriented + U',U2 L U' L U L U L',""
split bl oriented + U2,U L U' L U L U L',""
split bl oriented + U,L U' L U L U L',""
short hide fr oriented,U' R U R' U2 R U' R',""
short hide fr oriented + U',R U R' U2 R U' R',""
short hide fr oriented + U2,U R U R' U2 R U' R',""
short hide fr oriented + U,U2 R U R' U2 R U' R',""
short hide fr misoriented,U' Rw U' R' U R U Rw',""
short hide fr misoriented + U',Rw U' R' U R U Rw',""
short hide fr misoriented + U2,U Rw U' R' U R U Rw',""
short hide fr misoriented + U,U2 Rw U' R' U R U Rw',""
short hide fl oriented,U L' U' L U2 L' U L,""
short hide fl oriented + U',L' U' L U2 L' U L,""
short hide fl oriented + U2,U' L' U' L U2 L' U L,""
short hide fl oriented + U,U2 L' U' L U2 L' U L,""
short hide fl misoriented,U Lw' U L U' L' U' Lw,""
short hide fl misoriented + U',Lw' U L U' L' U' Lw,""
short hide fl misoriented + U2,U' Lw' U L U' L' U' Lw,""
short hide fl misoriented + U,U2 Lw' U L U' L' U' Lw,""
short hide br oriented,U R' U' R U R' U2 R,""
short hide br oriented + U',U2 R' U' R U R' U2 R,y Rw U' R' U R U Rw'
short hide br oriented + U2,U' R' U' R U R' U2 R,""
short hide br oriented + U,R' U' R U R' U2 R,R' U' R U2 R' U R
short hide br misoriented,U Rw' U R U' R' U' Rw,""
short hide br misoriented + U',U2 Rw' U R U' R' U' Rw,R' F R' F' R2 U R' U' R
short hide br misoriented + U2,U' Rw' U R U' R' U' Rw,""
short hide br misoriented + U,Rw' U R U' R' U' Rw,""
short hide bl oriented,U' L U L' U2 L U' L',""
short hide bl oriented + U',U2 L U L' U2 L U' L',""
short hide bl oriented + U2,U L U L' U2 L U' L',""
short hide bl oriented + U,L U L' U2 L U' L',""
short hide bl misoriented,U' Lw U' L' U L U Lw',""
short hide bl misoriented + U',U2 Lw U' L' U L U Lw',""
short hide bl misoriented + U2,U Lw U' L' U L U Lw',""
short hide bl misoriented + U,Lw U' L' U L U Lw',""
long hide fr oriented,R U R' U R U' R' U R U' R',""
long hide fr oriented + U',R U2 R' U2 R U' R',""
long hide fr oriented + U2,U R U2 R' U2 R U' R',""
